%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1580869379227935692,7313,1580869379226917028,,0.1858,-0.0051,0.4966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379252587301,7314,1580869379251434087,,0.182,0.0004,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379277958410,7315,1580869379276736974,,0.1845,-0.0037,0.4981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379302053831,7316,1580869379301131963,,0.1845,-0.005,0.4996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379327423137,7317,1580869379326318979,,0.1884,-0.0052,0.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379352403468,7318,1580869379351473093,,0.1833,0.0004,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379377909109,7319,1580869379376404047,,0.1833,0.0004,0.4995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379402285395,7320,1580869379401257038,,0.1885,0.0055,0.4997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379427640560,7321,1580869379426428079,,0.1871,-0.0011,0.4997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379452852172,7322,1580869379451843976,,0.1833,0.0017,0.5025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379477059327,7323,1580869379476066112,,0.1871,-0.0024,0.4997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379502738719,7324,1580869379501157045,,0.1885,0.0015,0.5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379528434586,7325,1580869379527262926,,0.1897,0.0001,0.4892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379552501686,7326,1580869379551462888,,0.1949,0.0013,0.4833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379577588983,7327,1580869379576385021,,0.1963,0.0053,0.4849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379602012045,7328,1580869379601011991,,0.191,0.0014,0.4756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379627854877,7329,1580869379626638889,,0.1936,-0.0026,0.4863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379652168957,7330,1580869379651127099,,0.1948,-0.0054,0.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379677026361,7331,1580869379676031112,,0.1949,-0.0,0.4803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379703132198,7332,1580869379701956987,,0.1961,-0.0054,0.4834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379726300810,7333,1580869379725811958,,0.1962,-0.0027,0.4773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379752221214,7334,1580869379751070976,,0.1962,-0.0027,0.4834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379776785001,7335,1580869379775808095,,0.2002,0.0105,0.4744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379802039072,7336,1580869379800976037,,0.1923,0.0014,0.4771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379826913392,7337,1580869379825839996,,0.2,-0.0042,0.4699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379852893226,7338,1580869379851172924,,0.1975,0.0026,0.4758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379877140815,7339,1580869379876027107,,0.1949,-0.0027,0.4712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379901531950,7340,1580869379900764942,,0.2001,-0.0015,0.476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379927926798,7341,1580869379926717042,,0.1884,0.0015,0.4937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379951794810,7342,1580869379950781106,,0.1845,-0.0024,0.5041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869379977253763,7343,1580869379976016044,,0.1922,-0.0079,0.4923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869380002255836,7344,1580869380000881910,,0.1858,-0.0037,0.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1580869380027095245,7345,1580869380025928020,,0.191,0.0014,0.4832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
